text,date,
" الى جميع شباب البطاله ,,, هذا الموضوع خصيصا لكم نريد ان نعرف مدى تجاوز الأجانب على أبناء الوطن  فكل الرجاء كل موظف خاص ضايقه موظف اجنبي وأنا متأكد 100% أنه الكل مرت عليهم حالات مثل هذه لذلك نود ان تذكرها لنا هنا عشان نعلنها بصراحه ونرفع الشعار الذي نود ان نرفعه منذ مبطى ( نحن لانريد أجانب بالبلد ,نحن مواطنين أكفاء ) نريد يشباب أن نبين لهم اننا نستطيع فعل مايفعله الأجنبي في هذا البلد وأكثر منه ايضا ,,, والهدف من هذا الموضوع ... 1- يمكن يدخل ولد غازي القصيبي في هذا الموضوع ويرحمنا ويحس ويكلم ابوه   2- يمكن يدخل مدير شركه سعودي لديه غيره وبعد مايشوف الموضوع يفصل جميع الأجانب اللي عنده   3- نتحمس لبعضنا البعض ونواسي بعض ونجد الحلول لبعضنا البعض  4- ليعرف المسؤلين أن المواطن في القطاع الخاص ( كالغريب اللي مضيع ديرته ) 5- ليعرف المسؤلين في الدولة اننا نمر بمحنة عظيمه ونريد منهم ان يقلبوها منحه ويصدرو الأوامر في ايقاف التجاوزات اللتي يقومون بها بعض الأجانب 6- نريد من المسؤلين في الدولة ان يضعو رقم هاتف 24ساعه مفتوح لتلقى المخالفات اللتي نراها وتضر بالبلد وأبناءه ولاكن لايوجد منبر مفتوح لنا نبلغه ,, وغيرها الكثير الكثير ,,",09-2007,
 هذا اللي فالحين فيه الكلاممافي فعل والله لو تكلمت من هنا لالف عام مافي احد يحس مافي امل,09-2007,
" اهلين,!مآفي مآنع,!.ع الاقل!, نأخذ خبره ,.في بعض العقبآت التييمكن توآجهنـآ,’!,ونتعآمل معهآ’!,بخلفيه,!جيده!, وربي يكون بعون الجميع!,ويصلح الأمور,!",09-2007,
 الأجانب أول ما يجيهم سعودي يتناحسون عليه و يخافون ياخذ مكانهمرغم انهم عارفين انها بلده و هو أحق!!!!أخوي استقال من عمله زمااان بسبب رئيسه الأجنبي اللي خلى نفسيته في غاية السوءو رفضت استقالته و عطوه إجازة طويلة لكنه طنشهم و ما راح و شافله وظيفة ثانيةلكن حسبي الله على كل ظالم يضيق على مسلم في وظيفته الله يكفيك شرهم أخوي سعودي وسط أجانب و يرد كيدهم في نحورهم,09-2007,
 مشكور اخي على طرح الموضوع للنقاش وانا بنتظار القصص من الاعضاء ولذلك تم التثبيت لفترة معينه,09-2007,
 السلام عليكم انا بقول الي صار لي مع الموظفين الاجانب بالشركه انا موظف بتخصص تشكيل معادن  بالطبع احتاج لأدوات السلامه منها الهلمد والنظارات السلامه الخ.. المهم كل ماخلي الادوات بمكان مالقاها الى يوم خليتها بالمسجد وجيت ماحصلتها (ازرفوها)اكثر من مره...  وفيه اخوي واصدقائي صارت معهم مواقف اخليها بعدين....   تقبل مروري,09-2007,
"  اهلين اخواني الأعضاء يعطيكم العافيه على ردودكم المثلجة للصدر ,,, ثانيا ... اشكرك مشرف القسم عولمه على تثبيت الموضوع  ثالثا سأذكر لكم قصة حصلت معي شخصيا    وليس من نسج الخيال    وبيكون أسم القصه ( شو هاذ يازلامه )  عشان اذا انتشرت او أقتبست في اي روايه او جريده  تكون الحقوق محفوظه لمنتديات البطاله    وسأبدا قصتي بالصلاة والسلام على أشرف الأنبياء والمرسلين كنت موظف بسيط اعمل بوظيفة إداريه في احدى الشركات الكبيرة بالرياض طبعا,,, ولاكن أنا السعودي الوحيد بالقسم الذي منع مكتب العمل والعمال ان يعمل به غير السعودي ,  وتقريبا يمكن ان يكون عدد السعودين الذين يعملون بالشركة لايتجاوز العشرين من اصل 370 موظف إجنبي ,, عموما ليس هذ موضوعنا سأعطيكم الزبده . في يوم من الأيام الممطره واللتي كان بردها قارس جدا صحيت الساعة السابعة صباحا وكنت احس بنشاط وحيوية عظيمه جدا .. لدرجة أنني احسست بشي سوف يحدث لي اليوم بحكم حادسة التنبؤ الموجودة عندي . أستعنت بالله وذهبت للعمل الذي يبداء الساعة الثامنه ولاكني وصلت للشركه السابعة والنصف ومع دخولى للشركه وجدت حارس الأمن (طبعا سعودي ) لأنه لايوجد حارس أمن لبناني أو فلسطيني  وجدته يستمع الى اغاني الدبكات وعايش حياته على أفضل مايكون سلمت  عليه ودخلت المكتب وبدأت ارتب الأوراق اللتي على مكتبى واللتي تركتها بالأمس مرتبة ولاكن لاأدرى من عبث بها؟ وعندما دق جرس الساعه على الثامنة دخل زميلى بالعمل الذى مكتبه او طاولته قربية منى واسمه ( وائل ) سورى الجنسية ولاكنه اقدم منى بالقسم حيث أنني لم أكمل سنه في الشركه طبا أنا وزميلي وائل موكلة لنا نفس المهام والمسؤليات في العمل ونحن نقسمه في ما بيننا وهذه طريقتنا بالعمل وعند الساعة الثامنة وسبع وثلاثين دقيقه وأذا بالباب يفتح علينا بسرعه لدرجة أن الأوراق اللتى على مكتبى تتطايرت من سرعة هواء الباب واذا بمدير القسم ( كريم ) اردني الجنسية هو الذي فتح الباب ويرد السلام علينا بصوت تخين جدا ويذهب لمكتبه ثم ذهب خلفه ( وائل ) وانا صرت اجمع الورق على مكتبي من جديد . فيما انا غارق بالعمل وهمومه ومشاكله اتصل بي المدير ( كريم ) الذي دائما اختلف معه في وجهات النظر ولاكني مؤمن بمبداء ,,ان اختلاف الرأي لايفسد للود قضيه  طبعا  مديري وائل  هو الذي وظفنى عندما اشتر سيارة من أحد أقاربي وعرض عليه خدماته فطلب منه قريبى انه سيرسل له شابا مثالي مجتهد   اللي هو أنا يريد أن يوظفه فوافق على طول بدون اي ترددات واخبره بالراتب والوظيفه ومتى مباشرة العمل ( اصبح هذا الأمر ليس بغريب في وطننا ) عموما انا خرجت عن صلب الموضوع اتصل بي المدير وطلب مني ان احضر لمكتبه قال لى ( وائل ) من الذي اتصل قلت المدير وسألته ياترى ماذا يريد صوته غريب وكأنه زعلان حاولت ان اخذ اي معلومه من وائل ولاكن للأسف فوائل استمر على صمته الدائم وقوله لاأدري  ولاكنه أبتسم ابتسامة خبيثة وظل يردد ( لعله خير ) وانا اقول انشالله .. ذهبت للمدير ( كريم ) سلمت عليه وقال لي أغلق الباب وأجلس ومن وجه العبوس عرفت ان لديه كلامآ كثيرا سوف يقوله ,, وبدأ يتكلم اولا عن نفسه اول مأشتغل بالسعوديه انه كان عامل تحميل وتنزيل وبدأ يردد انا وأنا فعلت وركبت ونزلت وأنا ,,, وانا اركز في كلامه ولم أقاطعه لكى اعرف ماذا يريد بالضبط وبعد كل هاذي المقدمات اللتي قالها لي بدأ وكأنه يدخل في صلب الموضوع وقال انه لم يواجه سعودي في حياته يعمل بأخلاص وصدق وبجديه وهذا ليس بغريب على شعب عايش بالرفاهيه والتخدم بالغير وبدأ كعادته يحاول أن يستفزني بطرق وبأهداف صامته سيئة لاأعرف كيف اتحمل نفسى اكثر من ذلك .. وفجأة قلت له . لحظه توقف كل يوم تسمعنى هذه الكلمات والعبارات وأنا لاأرد عليك بكلمة واحده واليوم اتى اليوم اللذي اضعك عند حدك وأعلمك من أنت ؟ وقال لى ماذا تريد أن تفعل ؟فمن شدة مأاحوال ان امسك بنفسى لكي لاأفعل اشياء لاتحمد عقباها أمسكت بالقلم الذي على مكتبه وكسرته .. ثم قال ( شو هاذ يازلامه عاوز تذبحنى أنت مفصول  والسبب أعتداءك على مديرك) ,,,,انتهت القصه ..   لماذا ياوطنى ؟ لماذا ياوطنى ؟ لماذا ياوطنى ؟",09-2007,
 يا أخوان هذا الموضوع صراحة ضايقني كثيييييير تعرفون ليش أقسم بالله إنو أنتو أهل الخير بس الموضوع في شوية تحيزانا أعمل بأكبر بنك بالوطن العربي وراتبي لا يتعدى 1500 ريال سعودي ومنصبي مدير علاقة إئتمانية لو في بنك سعودي بدك تحط كم صفر عشان يكون راتب ملائم للوظيفة.صدقا أكثر الناس اللي أعرفهم راحوا على السعودية وصارو سعييدن لأنو أحس إنه مصاريها مباركة وبعد كم سنة رجعوا مفصولين لأنو سياسة السعودة كذا تقول. طب ليش أليس السعودية بلد مسلم وكل المسلمين فيها متساون,09-2007,
"     فكرة الموضوع راااائعه جدا .. ولكن اتمنى من كل المشاركين ان يركزوا في ذكر احداث بكل صدق وامانه وان يذكروا اسم الشركه او المنشأه التي حدثت فيها القصه واسماء الاجانب  وكما يقال في العاميه "" كثر الدق يفك اللحام ""  يعطيك العافيه اخي سعودي  و كل عام وانت الى الله اقرب  ابونوره   ",09-2007,
 لا حول ولا قوة إلا بالله !!,09-2007,
