companyName,description,countryOfCompany,categoryOfCompany,email,
Human Touch LLC,"Human Touch® is the leading provider of high-quality, innovative lifestyle products, massage chairs, and experiences that have been delivering indispensable, life-changing benefits to an ever-growing number of consumers for over 40 years.",United States,,,
Humetrix,"Humetrix has pioneered in the last 10 years the development of AI powered digital health platforms. Offered globally to healthcare organizations, telehealth providers, commercial payors and government agencies, our platforms provide real-time population health analytics, now supporting pandemic responses at the national and local levels.",United States,,support@humetrix.com,
Hunter Engineering Company,,United States of America,,,
Hutech Industry Co.Ltd,"HUTECH is a global leader of health and wellness in Korea established in 2007 producing a massage chair with sonic wave massage and providing a perfect solution for autonomous car such as fully automated car seats with massage function and foot massager. 
This technology is the world first embedded in KIA Motors Vehicle.",South Korea,"Digital Health,Family and Lifestyle,Vehicle Tech,Wellness Technologies",justin.lim@i-hutech.com,
Hydrow,,United States of America,"Fitness and Wearables,Sports Technology,Startups,Wellness Technologies",,
Hyperlink Infosystem,,India,,,
Hypervsn,,United Kingdom,,,
HyperX,,United States of America,Gaming and Esports,,
Hypnoledge,,France,,,
Hypori Inc.,,United States of America,"Cloud Computing/Data,Cybersecurity,Mobile Hardware and Accessories,Privacy,Startups",,
Hyundai Heavy Industries Holdings,"Starting the business as a shipbuilder at a small fishing village in 1972, the Hyundai Heavy Industries Group has grown to be a global heavy industry leader.",South Korea,"Artificial Intelligence,Digital Health,Robotics,Sustainability,Vehicle Tech",,
Hyundai Mobis,"Hyundai MOBIS is the global no.7 global automotive supplier, with annual sales of nearly $30 billion USD. The company was founded in 1977 and is headquartered in Seoul, Korea. Hyundai MOBIS aims to become a lifelong technology partner for vehicles and people.",South Korea,"Robotics,Smart Cities and Resilience,Sustainability,Vehicle Tech",,
Hyundai Motor Company,,South Korea,,,
Hyundai Technology,"Hyundai Technology is constantly expanding the possibilities of computing, memory, storage, IOT and digital display due to their organic growth, competitive edge and constant technological breakthroughs. We are vigorously setting industry standards of quality and reliability, while bringing the latest tech solutions in elegance and style.",United States of America,"Gaming and Esports,Sourcing and Manufacturing",info@hyundaitechnology.com,
"iatrixAir, Inc.",,United States of America,,,
IAV Automotive Engineering,"As one of the globally leading engineering partners, IAV develops the mobility of the future. Regardless of the specific manufacturer, our engineering proves itself in vehicles and technologies all over the world.",United States of America,"Artificial Intelligence,Cybersecurity,Robotics,Smart Cities and Resilience,Vehicle Tech",,
iBasis,"iBASIS is the leading communications solutions provider enabling operators and digital players worldwide to perform and transform. iBASIS provides the end-to-end Global Access for Things™ connectivity solution, delivering single source cellular IoT access worldwide, provisioned through GSMA-standard eSIM/eUICC technology. The solution sim",United States of America,"5G Technologies,Cybersecurity,IoT/Sensors",,
Ibeo Automotive Systems GmbH,"Ibeo has positioned itself as a global technology leader for LiDAR sensors and the associated products and software tools. With its new solid state LiDAR ibeoNEXT, a milestone on the path to fully autonomous driving was set. The subsidiary Ibeo Automotive USA Inc. allows Ibeo to cater to the growing demand for LiDAR technology in the U.S.",Germany,,info@ibeo-as.com,
IBM,"IBM is the global leader in business transformation through an open hybrid cloud platform and AI, serving clients in more than 170 countries around the world. With 28 consecutive years of patent leadership, IBM is committed to being a responsible innovator and a force for good in the world. www.ibm.com.",United States,"5G Technologies,Blockchain,Artificial Intelligence,Cloud Computing/Data,Quantum Computing",,
IBM,,United States of America,,,
IBM,"IBM is the global leader in business transformation through an open hybrid cloud platform and AI, serving clients in more than 170 countries around the world. With 28 consecutive years of patent leadership, IBM is committed to being a responsible innovator and a force for good in the world. www.ibm.com.",United States,"5G Technologies,Blockchain,Artificial Intelligence,Cloud Computing/Data,Quantum Computing",,
iCaddy,,United States of America,,,
ICLO,,South Korea,,,
Icon Savings Plan,"Icon is a pioneer in portable retirement savings. Our platform elevates and modernizes retirement savings plans for businesses and their employees. Inspired by 401k plans, but built for personalized savings, Icon removes the complexities, costs, and risks from employers and delivers low-cost, high-quality retirement savings and investing.",United States of America,"Fintech,Investing,Startups,Sustainability,Wellness Technologies",Contact@IconSavingsPlan.com,
ICOP Technology Inc.,"ICOP Technology is the world’s leading manufacturer of industrial embedded computers, industrial embedded controllers, industrial motion controllers, and industrial panel PCs used in the automation of numerous control systems. New product: 3D printer, 86Duino.",Taiwan,"Digital Imaging and 3D Printing,Mobile Hardware and Accessories,Robotics",info@icoptech.com,
iCreation Inc.,,Canada,,info@icreation.com,
"Ideaconcert Co., Ltd.","IdeaConcert Co., Ltd. is a Webtoon and Webtoon Movie producer and distributor company that developed the Authoring Tool called “Toonivie”. Toonivie is a software to turn image contents, such as webtoon, comics, fairytales books, and characters into interesting videos.",South Korea,"Education,Entertainment and Content,Startups,Streaming,Video Technologies",info@ideaconcert.com,
