sku,name,ratingValue,reviewCount,price,url
489547,Oceanside 2-Piece Right-Arm Chaise Sectional,,,2398.00,https://www.crateandbarrel.com/oceanside-2-piece-right-arm-chaise-sectional/s489547
228618,Emma Wood and Glass-Top Dining Table,5,1,2399.00,https://www.crateandbarrel.com/emma-wood-and-glass-top-dining-table/s228618
120864,Yukon Grey Entryway Bench with Shelf,4.5,13,799.00,https://www.crateandbarrel.com/yukon-grey-entryway-bench-with-shelf/s120864
241625,Monahan Sofa,3.6,61,2999.00,https://www.crateandbarrel.com/monahan-sofa/s241625
269706,Grey and Walnut Pool Table with Wall Rack and Accessories,5,1,6799.00,https://www.crateandbarrel.com/grey-and-walnut-pool-table-with-wall-rack-and-accessories/s269706
550524,GE Profile ™ Opal ™ 2.0 Black Stainless Nugget Ice Maker with Side Tank,4.7,1437,579.00,https://www.crateandbarrel.com/ge-profile-opal-2.0-black-stainless-nugget-ice-maker-with-side-tank/s550524
1004211,Waffle Bathrobes,,,119.95,https://www.crateandbarrel.com/waffle-bathrobes/f1004211
203118,Turkey Talk Melamine Bowl,4.7,3,2.97,https://www.crateandbarrel.com/turkey-talk-melamine-bowl/s203118
74435,Organic Cotton White Duvet Covers and Pillow Shams,4.4,325,39.95-169.95,https://www.crateandbarrel.com/washed-organic-cotton-white-duvet-covers-and-pillow-shams/f74435
368005,Sedona Grey Hamper with Liner,4.3,10,139.90,https://www.crateandbarrel.com/sedona-grey-hamper-with-liner/s368005
1004223,Reversible Grid/Striped Natural Hemp Fiber Duvet Covers and Pillow Shams,4.3,3,49.95-259.95,https://www.crateandbarrel.com/reversible-grid-striped-natural-hemp-fiber-duvet-covers-and-pillow-shams/f1004223
75299,Organic 800-Gram Turkish Bath Towels,4.7,577,2.97-49.95,https://www.crateandbarrel.com/organic-800-gram-turkish-bath-towels/f75299
10921,Classic Medium Down Duvet Insert,4.6,174,199.95-299.95,https://www.crateandbarrel.com/classic-down-duvet-insert/f10921
97426,Natural Hemp Sheet Sets,4.1,77,49.95-279.95,https://www.crateandbarrel.com/hemp-sheet-sets/f97426
52908,Multisurface Thick Rug Pad,4.7,25,15.95-279.00,https://www.crateandbarrel.com/multisurface-thick-rug-pad/f52908
103375,Malloe Tall Black Basket with Handles,5,25,99.95,https://www.crateandbarrel.com/malloe-tall-black-basket-with-handles/s103375
1004562,Katin Wood Centerpiece Bowls,,,79.95-99.95,https://www.crateandbarrel.com/katin-wood-centerpiece-bowls/f1004562
347735,"Faux Hemlock Pine Pre-Lit LED Wreath 28""",4,2,129.00,https://www.crateandbarrel.com/faux-hemlock-pine-pre-lit-led-wreath-28/s347735
112635,Reva Corner Shelf,4.9,11,129.00,https://www.crateandbarrel.com/reva-corner-shelf/s112635
1007893,ILLUME ® Balsam and Cedar Candles and Reed Diffuser,,,12.00-58.00,https://www.crateandbarrel.com/illume-balsam-and-cedar-candles-and-reed-diffuser/f1007893
1006569,Green Tree Candles,4.5,359,7.99-29.99,https://www.crateandbarrel.com/green-tree-candles/f1006569
1000013,Flurry Ceramic Candle Holders,4.9,135,4.99-12.95,https://www.crateandbarrel.com/flurry-ceramic-candle-holders/f1000013
70281,Brushed Brass Picture Frames,4.6,59,29.95-49.95,https://www.crateandbarrel.com/brushed-brass-picture-frames/f70281
272552,Backseat Wood Desk Chair with Metal Legs,,,299.00,https://www.crateandbarrel.com/backseat-wood-desk-chair-with-metal-legs/s272552
1004671,Gracia Canopy Bed,,,1799.00-1999.00,https://www.crateandbarrel.com/gracia-canopy-bed/f1004671
