sku,name,reviewStars,reviewCount,status,price,discount,url
FLSH635,Flash Furniture Bentwood Cutout Slat Back Adjustable Vinyl Seat Bar Stool,4.5,27,IN_STOCK,114.09,0,https://www.hayneedle.com/product/flash-furniture-bentwood-cutout-slat-back-adjustable-vinyl-seat-bar-stool.cfm
WAL620,Manor Park Urban Industrial Accent Cabinet,5,3,IN_STOCK,259,7,https://www.hayneedle.com/product/manorparkurbanindustrialaccentcabinet.cfm
DORE235,HumbleNest Homestead Accent Chair,4.6,34,IN_STOCK,341.99,1,https://www.hayneedle.com/product/humblenest-homestead-accent-chair.cfm
INSP114,Inspired Home Edward Faux Leather Sofa,,,IN_STOCK,1959.99,0,https://www.hayneedle.com/product/inspiredhomeannikafauxleathersofa.cfm
VKR3024,Salem Pencil Unlit Christmas Tree - White,2.4,7,IN_STOCK,66.99,22,https://www.hayneedle.com/product/salem-pencil-unlit-christmas-tree-white.cfm
NATC071,North Valley Spruce Full Unlit Christmas Tree,4,35,IN_STOCK,116.1,20,https://www.hayneedle.com/product/northvalleysprucefullunlitchristmastree.cfm
NATC2414,National Tree Company Newberry Spruce Full Pre Lit Christmas Tree,,,IN_STOCK,192.3,9,https://www.hayneedle.com/product/nationaltreecompanynewberrysprucefullprelitchristmastree.cfm
NATC749,Dunhill Fir Hinged LED Pre-Lit Full Christmas Tree,4,3,IN_STOCK,465.12,17,https://www.hayneedle.com/product/dunhill-fir-hinged-led-pre-lit-full-christmas-tree.cfm
NATC1832,National Tree Company 9 ft. PowerConnect Bayberry Spruce Christmas Tree with Dual Color LED Lights,,,IN_STOCK,946.04,11,https://www.hayneedle.com/product/nationaltreecompany9ftpowerconnectbayberrysprucechristmastreewithdualcolorledlights.cfm
BRA050,Brazil Furniture Cupholder Child Recliner - Camo Rex,5,2,IN_STOCK,122.68,0,https://www.hayneedle.com/product/brazilfurniturecupholderchildreclinercamorex.cfm
MECIO2846,Rachael Ray Cucina Nonstick Bakeware 10 Piece Set,4.6,140,IN_STOCK,99.99,0,https://www.hayneedle.com/product/rachael-ray-cucina-nonstick-bakeware-10-piece-set.cfm
CHFI143,Dream Factory Space Rocket Twin Mini Bed in a Bag,4.2,18,IN_STOCK,43.83,0,https://www.hayneedle.com/product/chfspacerockettwinminibedinabag.cfm
MECIO2549,Rachael Ray Tools and Gadgets 3-Tier Stacking Salt Box,4.8,5,IN_STOCK,26.29,0,https://www.hayneedle.com/product/rachaelraytoolsandgadgets3tierstackingsaltbox.cfm
BID092,32 in. LED Red Merry Christmas Lighted Display - 300 Bulbs,4.5,2,IN_STOCK,499.99,0,https://www.hayneedle.com/product/ledredmerrychristmas300bulbs.cfm
GORD4647,Northlight Glittered Gift Box Shaped Christmas Stocking Holder,5,1,IN_STOCK,24.5,19,https://www.hayneedle.com/product/northlightglitteredgiftboxshapedchristmasstockingholder.cfm
KSA2432,Kurt S. Adler 9 in. Blue and White LED Rotating Snowflake Treetop,,,IN_STOCK,73.99,0,https://www.hayneedle.com/product/kurtsadler9inblueandwhiteledrotatingsnowflaketreetop.cfm
GORD4542,Northlight Black and White Merry Christmas Christmas Stocking,,,IN_STOCK,20,0,https://www.hayneedle.com/product/northlightblackandwhitemerrychristmaschristmasstocking.cfm
