business_name,full_adress,zip_code,phone,license,job_cost,rating,reviews,website,url
Capital Remodeling,"Hanover, Maryland, United States",21076,(800) 310-7154,None,None,4.8,409,https://www.houzz.com/trk/aHR0cDovL3d3dy5jYXBpdGFscmVtb2RlbGluZy5jb20/43434f977626c815229ecbf1df9877fd/ue/MTk5MDY2MzY/9cb2856249f3837fe9e044ef5694324b,https://www.houzz.com/professionals/general-contractors/capital-remodeling-pfvwus-pf~663981496
Chi Renovation & Design,"4868 W Dempster St Skokie, Illinois, United States",60077,(847) 983-4024,None,"$50,000 - 500,000",4.9,102,https://www.houzz.com/trk/aHR0cDovL3d3dy5jaGlyZW5vdmF0aW9uLmNvbS8/5b33739a7cd7f02b4f060a25f823c9cd/ue/MTM4NTIyMjE/a470db36f9c13e295bc8fdf789c7543d,https://www.houzz.com/professionals/general-contractors/chi-renovation-and-design-pfvwus-pf~1166820445
Bailey Remodeling and Construction LLC,"201 Meridian Ave. Suite 201 Louisville, Kentucky, United States",40207,(502) 890-9120,None,None,5.0,106,https://www.houzz.com/trk/aHR0cDovL3d3dy5iYWlsZXlyZW1vZGVsLmNvbQ/2f005891e940e2c01021b57733580fa3/ue/NDU3NDcxNQ/a3be682e415d6c23590401e416ee1018,https://www.houzz.com/professionals/general-contractors/bailey-remodeling-and-construction-llc-pfvwus-pf~1225076067
Erie Construction Mid West,"4271 Monroe St. Toledo, Ohio, United States",43606,(800) 536-4200,None,None,4.8,231,https://www.houzz.com/trk/aHR0cDovL3d3dy5lcmllY29uc3RydWN0aW9uLmNvbQ/f74774ae1b575f9c6e2135b0177c1ac3/ue/NDAxNDgz/50c69cb029bf7352d667034c0d70e10a,https://www.houzz.com/professionals/general-contractors/erie-construction-mid-west-pfvwus-pf~687936443
Regal Construction & Remodeling Inc.,"19537 ½ Ventura Blvd. Tarzana, California, United States",91356,(818) 340-1700,909023,"$10,000 - 1 million",4.8,96,https://www.houzz.com/trk/aHR0cDovL3JlZ2FscmVub3ZhdGlvbi5jb20v/18069b0a71c1d564ca1b1473203a8dea/ue/MTMxMDQwOTU/e195063f10bbdf2f1bc57a4a5f109cea,https://www.houzz.com/professionals/general-contractors/regal-construction-and-remodeling-inc-pfvwus-pf~26021507
LAR Construction & Remodeling,"6371 canby ave Tarzana, California, United States",91335,(833) 312-2527,1029787,"$10,000 - 10 million",5.0,191,https://www.houzz.com/trk/aHR0cDovL3d3dy5sYXJyZW1vZGVsaW5nLmNvbS8/6f5aed43c77346611dadd9a71a4cb511/ue/NDUxNTIyMzY/b08524fd6ca43d275e05e14010bb61eb,https://www.houzz.com/professionals/general-contractors/lar-construction-and-remodeling-pfvwus-pf~1739226816
Rudloff Custom Builders,"896 Breezewood Lane West Chester, Pennsylvania, United States",19382,(610) 692-8774,PA003400,"$50,000 - 4 million",5.0,111,https://www.houzz.com/trk/aHR0cDovL1J1ZGxvZmZjdXN0b21idWlsZGVycy5jb20/280dfb9ab7a21f5e91e12bd57371fcbb/ue/MjE0OTExOA/38c15f5244a352f3de4d71ced6d322ca,https://www.houzz.com/professionals/general-contractors/rudloff-custom-builders-pfvwus-pf~1132690706
"Professional builders & Remodeling, Inc","15335 Morrison St #325 Sherman Oaks, California, United States",91403,(888) 634-4477,B-800769,"$5,000 - 5 million",5.0,204,https://www.houzz.com/trk/aHR0cDovL3d3dy5wcm9mZXNzaW9uYWxidWlsZGVyczR1LmNvbS8/8d32cf46e166cf27efc4802d8f044a3c/ue/Mjc5NzgyMDI/51f9d418d8683cb0af10db62c0c176c5,https://www.houzz.com/professionals/general-contractors/professional-builders-and-remodeling-inc-pfvwus-pf~186375970
123 Remodeling Inc.,"5070 N. Kimberly Ave Suite C Chicago, Illinois, United States",60630,(773) 570-1427,TGC015121,"$10,000 - 500,000",4.7,83,https://www.houzz.com/trk/aHR0cHM6Ly8xMjNyZW1vZGVsaW5nLmNvbQ/900d3301af957d81a2586839bf33ba07/ue/ODkxNzg1OA/44524546a123cd093fda7d9cfcb56326,https://www.houzz.com/professionals/general-contractors/123-remodeling-inc-pfvwus-pf~2047471754
"Sneller Custom Homes and Remodeling, LLC","17018 Seven Pines Dr Ste 100 Spring, Texas, United States",77379,(832) 639-4802,None,"$100,000 - 1,000,000",4.9,77,https://www.houzz.com/trk/aHR0cDovL3NuZWxsZXJjdXN0b21ob21lcy5jb20/f4e8be65393164e824cea802bf8c1d0a/ue/MTQ4Nzg0Mg/ed3fd09550eb02f5bb877a036eba2c55,https://www.houzz.com/professionals/general-contractors/sneller-custom-homes-and-remodeling-llc-pfvwus-pf~2046827138
