NAME_OF_ITEM,TYPE_OF_ITEM,RARITY,TIER,GEAR_SCORE
Ancient Fishing Pole,Tool,Legendary,Tier V,600
Voidbent Leggings,Medium Legwear,Legendary,Tier V,600
Voidbent Shoes,Light Footwear,Legendary,Tier V,600
Voidbent Wraps,Light Headwear,Legendary,Tier V,600
Voidbent Grips,Medium Glove,Legendary,Tier V,600
Voidbent Gloves,Light Glove,Legendary,Tier V,600
Voidbent Pants,Light Legwear,Legendary,Tier V,600
Eternal Dusk,Great Axe,Epic,Tier V,590
Voidbent Boots,Medium Footwear,Legendary,Tier V,600
Voidbent Robes,Light Chestwear,Legendary,Tier V,600
Voidbent Coat,Medium Chestwear,Legendary,Tier V,600
Voidbent Hat,Medium Headwear,Legendary,Tier V,600
Voidbent Sabatons,Heavy Footwear,Legendary,Tier V,600
Voidbent Legguards,Heavy Legwear,Legendary,Tier V,600
Voidbent Breastplate,Heavy Chestwear,Legendary,Tier V,600
Voidbent Gauntlets,Heavy Glove,Legendary,Tier V,600
Torrent,Bow,Epic,Tier V,580
Hidden Truths,Spear,Epic,Tier V,590
Frost Fairy's Gift,Ice Gauntlet,Legendary,Tier V,590
Honorbound Rapier,Rapier,Epic,Tier V,590
Faedragon's Claw,Spear,Epic,Tier V,590
Master Cryomancer's Gauntlet,Ice Gauntlet,Legendary,Tier V,590
Needler,Rapier,Epic,Tier V,590
Waning Crescent,Fire Staff,Epic,Tier V,590
Maker's Mark,Hatchet,Epic,Tier V,590
Pixie's Punisher,Hatchet,Epic,Tier V,590
Longsight,Bow,Epic,Tier V,590
Faeforged Musket,Musket,Epic,Tier V,590
Guillotine,Great Axe,Epic,Tier V,590
Veilpiercer,Bow,Epic,Tier V,590
Voidbent Helm,Heavy Headwear,Legendary,Tier V,600
Lion's Paw Helmet,Heavy Headwear,Epic,Tier V,550
Inquisition,Musket,Epic,Tier V,590
Horrific Skullcap,Heavy Headwear,Epic,Tier V,550
Helm of the Dominator,Heavy Headwear,Epic,Tier V,550
Crystalline Curse,Ice Gauntlet,Legendary,Tier V,600
Warscarred Faceplate,Heavy Headwear,Epic,Tier V,550
Helm of the Forgotten Legion,Heavy Headwear,Epic,Tier V,550
Opus Blade,Sword,Epic,Tier V,550
Voidforged Harbinger,Sword,Epic,Tier V,555
Hades Legguards,Heavy Legwear,Rare,Tier V,560
Cauterizing Hatchet,Hatchet,Rare,Tier V,555
Fleshwrapped Hatchet,Hatchet,Epic,Tier V,550
Boots of Stallion,Heavy Footwear,Rare,Tier V,560
Glacial Rage,Ice Gauntlet,Legendary,Tier V,565
Flawless Grandmaster's Spear,Spear,Legendary,Tier V,565
Graiths Maul,War Hammer,Epic,Tier V,565
Windsinger,Life Staff,Legendary,Tier V,565
Best Wishes,Hatchet,Epic,Tier V,565
Basilisk Skin Legguards,Medium Legwear,Epic,Tier V,550
Headguard of Valor,Heavy Headwear,Epic,Tier V,550
Dungeoneer's Leggings,Medium Legwear,Epic,Tier V,550
Renaissance,Rapier,Epic,Tier V,565
Dragonscale Chestguard,Medium Chestwear,Epic,Tier V,550
Artificer's Fitted Leggings,Medium Legwear,Epic,Tier V,550
Ghoulskin Gloves,Medium Glove,Epic,Tier V,550
Myrkgaardian's Legguards,Medium Legwear,Epic,Tier V,550
Captain's Battlegloves,Medium Glove,Epic,Tier V,550
Navigator's Tunic,Medium Chestwear,Epic,Tier V,550
Chestguard-Of-Too-Many-Pockets,Medium Chestwear,Epic,Tier V,550
Shining Knight's Tunic,Medium Chestwear,Epic,Tier V,550
Champion's Reinforced Gloves,Medium Glove,Epic,Tier V,550
Chestguard of the Seventh Hell,Medium Chestwear,Epic,Tier V,550
Ogreskin Chestguard,Medium Chestwear,Epic,Tier V,550
Chestguard of the Royal Assassin,Medium Chestwear,Epic,Tier V,550
Grand Watcher's Chestguard,Medium Chestwear,Epic,Tier V,550
Reaver's Nimble Armor,Medium Chestwear,Epic,Tier V,550
Fur-lined Tundraguard's Armor,Medium Chestwear,Epic,Tier V,550
Marauder Legatus Gauntlets of the Sentry,Heavy Glove,Epic,Tier V,535
Syndicate Plague Doctor Mask of the Sentry,Medium Headwear,Epic,Tier V,535
Marauder Legatus Helm of the Sentry,Heavy Headwear,Epic,Tier V,535
Arcanebound Breastplate,Medium Chestwear,Epic,Tier V,550
Covenant Inquisitor Pants of the Sentry,Heavy Legwear,Epic,Tier V,535
Robe of Void Empowerment,Light Chestwear,Epic,Tier V,550
Marauder Legatus Breastplate of the Sentry,Heavy Chestwear,Epic,Tier V,535
Covenant Inquisitor Gauntlets of the Sentry,Heavy Glove,Epic,Tier V,535
Covenant Inquisitor Coat of the Sentry,Heavy Chestwear,Epic,Tier V,535
Covenant Inquisitor Boots of the Sentry,Heavy Footwear,Epic,Tier V,535
Covenant Inquisitor Hat of the Sentry,Heavy Headwear,Epic,Tier V,535
Syndicate Plague Doctor Boots of the Sentry,Medium Footwear,Epic,Tier V,535
Syndicate Plague Doctor Pants of the Sentry,Medium Legwear,Epic,Tier V,535
Syndicate Plague Doctor Gloves of the Sentry,Medium Glove,Epic,Tier V,535
Alazar's Hook,Jewelry - Earring,Rare,Tier V,540
Syndicate Plague Doctor Robes of the Sentry,Medium Chestwear,Epic,Tier V,535
Rage,Fire Staff,Legendary,Tier V,545
Spirit of Oblivion,Rapier,Legendary,Tier V,550
Molten's Core,Fire Staff,Rare,Tier V,535
Shattered Mountain Raider's Breastplate,Heavy Chestwear,Rare,Tier V,535
Marauder Legatus Cuisses of the Cleric,Heavy Legwear,Epic,Tier V,535
Marauder Legatus Gauntlets of the Cleric,Heavy Glove,Epic,Tier V,535
Marauder Legatus Breastplate of the Cleric,Heavy Chestwear,Epic,Tier V,535
Edge of Rebellion,Sword,Epic,Tier V,535
Syndicate Plague Doctor Boots of the Cleric,Medium Footwear,Epic,Tier V,535
Syndicate Plague Doctor Pants of the Cleric,Medium Legwear,Epic,Tier V,535
Syndicate Plague Doctor Gloves of the Cleric,Medium Glove,Epic,Tier V,535
Marauder Legatus Greaves of the Cleric,Heavy Footwear,Epic,Tier V,535
Syndicate Plague Doctor Robes of the Cleric,Medium Chestwear,Epic,Tier V,535
Syndicate Plague Doctor Mask of the Cleric,Medium Headwear,Epic,Tier V,535
Marauder Legatus Helm of the Cleric,Heavy Headwear,Epic,Tier V,535
Marauder Legatus Greaves of the Occultist,Heavy Footwear,Epic,Tier V,535
Marauder Legatus Gauntlets of the Occultist,Heavy Glove,Epic,Tier V,535
Marauder Legatus Cuisses of the Occultist,Heavy Legwear,Epic,Tier V,535
Marauder Legatus Helm of the Occultist,Heavy Headwear,Epic,Tier V,535
Covenant Inquisitor Boots of the Occultist,Heavy Footwear,Epic,Tier V,535
Syndicate Alchemist Longsword,Sword,Epic,Tier V,525
Reinforced Covenant Adjudicator Boots of the Brigand,Medium Footwear,Rare,Tier V,525
Marauder Commander Longsword,Sword,Epic,Tier V,525
Marauder Legatus Breastplate of the Occultist,Heavy Chestwear,Epic,Tier V,535
Tempest's Heart,Jewelry - Amulet,Rare,Tier V,530
Covenant Adjudicator Longsword,Sword,Epic,Tier V,525
Reinforced Covenant Adjudicator Mitts of the Brigand,Medium Glove,Rare,Tier V,525
Reinforced Covenant Adjudicator Headgear of the Brigand,Medium Headwear,Rare,Tier V,525
Reinforced Covenant Adjudicator Coat of the Brigand,Medium Chestwear,Rare,Tier V,525
Reinforced Syndicate Alchemist Pants of the Brigand,Medium Legwear,Rare,Tier V,525
Reinforced Syndicate Alchemist Coat of the Brigand,Medium Chestwear,Rare,Tier V,525
Reinforced Syndicate Alchemist Mitts of the Brigand,Medium Glove,Rare,Tier V,525
Reinforced Syndicate Alchemist Boots of the Brigand,Medium Footwear,Rare,Tier V,525
Reinforced Syndicate Alchemist Headgear of the Brigand,Medium Headwear,Rare,Tier V,525
Reinforced Marauder Commander Boots of the Brigand,Medium Footwear,Rare,Tier V,525
Forsaken Cloth Hat,Light Headwear,Common,Tier V,525-600
Forsaken Leather Boots,Medium Footwear,Common,Tier V,525-600
Forsaken Leather Pants,Medium Legwear,Common,Tier V,525-600
Forsaken Leather Gloves,Medium Glove,Common,Tier V,525-600
Forsaken Leather Coat,Medium Chestwear,Common,Tier V,525-600
Forsaken Leather Hat,Medium Headwear,Common,Tier V,525-600
Reinforced Covenant Adjudicator Pants of the Brigand,Medium Legwear,Rare,Tier V,525
Forsaken Boots,Heavy Footwear,Common,Tier V,525-600
Forsaken Greaves,Heavy Legwear,Common,Tier V,525-600
Forsaken Gauntlets,Heavy Glove,Common,Tier V,525-600
Forsaken Breastplate,Heavy Chestwear,Common,Tier V,525-600
Covenant Adjudicator Ice Gauntlet,Ice Gauntlet,Epic,Tier V,525
Forsaken Helm,Heavy Headwear,Common,Tier V,525-600
Syndicate Alchemist Ice Gauntlet,Ice Gauntlet,Epic,Tier V,525
Marauder Commander Ice Gauntlet,Ice Gauntlet,Epic,Tier V,525
Covenant Adjudicator Tower Shield,Tower Shield,Rare,Tier V,525
Covenant Adjudicator Kite Shield,Tower Shield,Rare,Tier V,525
Syndicate Alchemist Tower Shield,Kite Shield,Rare,Tier V,525
Forsaken Helm,Heavy Headwear,Common,Tier V,525-600
Covenant Adjudicator Round Shield,Tower Shield,Rare,Tier V,525
Primeval Cloth Pants,Light Legwear,Common,Tier V,525-600
Syndicate Alchemist Kite Shield,Kite Shield,Rare,Tier V,525
Syndicate Alchemist Round Shield,Kite Shield,Rare,Tier V,525
Marauder Commander Tower Shield,Round Shield,Rare,Tier V,525
Primeval Cloth Gloves,Light Glove,Common,Tier V,525-600
Primeval Cloth Hat,Light Headwear,Common,Tier V,525-600
Primeval Leather Boots,Medium Footwear,Common,Tier V,525-600
Primeval Leather Pants,Medium Legwear,Common,Tier V,525-600
Primeval Cloth Shoes,Light Footwear,Common,Tier V,525-600
Primeval Leather Gloves,Medium Glove,Common,Tier V,525-600
Primeval Cloth Shirt,Light Chestwear,Common,Tier V,525-600
Primeval Leather Coat,Medium Chestwear,Common,Tier V,525-600
Primeval Greaves,Heavy Legwear,Common,Tier V,525-600
Primeval Leather Hat,Medium Headwear,Common,Tier V,525-600
Archaic Greaves,Heavy Legwear,Common,Tier V,525-600
Archaic Hat,Medium Headwear,Common,Tier V,525-600
Archaic Gauntlets,Heavy Glove,Common,Tier V,525-600
Primeval Boots,Heavy Footwear,Common,Tier V,525-600
Archaic Breastplate,Heavy Chestwear,Common,Tier V,525-600
Archaic Boots,Heavy Footwear,Common,Tier V,525-600
Archaic Helm,Heavy Headwear,Common,Tier V,525-600
Profane Boots,Light Footwear,Common,Tier V,525-600
Profane Pants,Light Legwear,Common,Tier V,525-600
Profane Shirt,Light Chestwear,Common,Tier V,525-600
Profane Boots,Medium Footwear,Common,Tier V,525-600
Profane Hat,Medium Headwear,Common,Tier V,525-600
Profane Gloves,Light Glove,Common,Tier V,525-600
Profane Gloves,Medium Glove,Common,Tier V,525-600
Profane Coat,Medium Chestwear,Common,Tier V,525-600
Profane Hat,Light Headwear,Common,Tier V,525-600
Profane Pants,Medium Legwear,Common,Tier V,525-600
Covenant Adjudicator Handcovers of the Priest,Light Glove,Epic,Tier V,520
Profane Gauntlets,Heavy Glove,Common,Tier V,525-600
Profane Boots,Heavy Footwear,Common,Tier V,525-600
Profane Breastplate,Heavy Chestwear,Common,Tier V,525-600
Profane Helm,Heavy Headwear,Common,Tier V,525-600
Covenant Adjudicator Jacket of the Priest,Light Chestwear,Epic,Tier V,520
Forgotten Boots,Light Footwear,Common,Tier V,525-600
Covenant Adjudicator Headwear of the Priest,Light Headwear,Epic,Tier V,520
Profane Greaves,Heavy Legwear,Common,Tier V,525-600
Marauder Commander Leggings of the Priest,Light Legwear,Epic,Tier V,520
Marauder Commander Footwear of the Priest,Light Footwear,Epic,Tier V,520
Marauder Commander Jacket of the Priest,Light Chestwear,Epic,Tier V,520
Marauder Commander Headwear of the Priest,Light Headwear,Epic,Tier V,520
Syndicate Alchemist Boots of the Barbarian,Heavy Footwear,Epic,Tier V,520
Syndicate Alchemist Gauntlets of the Barbarian,Heavy Glove,Epic,Tier V,520
Syndicate Alchemist Legguards of the Barbarian,Heavy Legwear,Epic,Tier V,520
Syndicate Alchemist Helm of the Barbarian,Heavy Headwear,Epic,Tier V,520
Marauder Commander Handcovers of the Priest,Light Glove,Epic,Tier V,520
Syndicate Alchemist Coat of the Barbarian,Medium Chestwear,Epic,Tier V,520
Syndicate Alchemist Hat of the Barbarian,Medium Headwear,Epic,Tier V,520
Covenant Adjudicator Pants of the Barbarian,Medium Legwear,Epic,Tier V,520
Syndicate Alchemist Breastplate of the Barbarian,Heavy Chestwear,Epic,Tier V,520
Covenant Adjudicator Hat of the Barbarian,Medium Headwear,Epic,Tier V,520
Marauder Commander Shoes of the Barbarian,Medium Footwear,Epic,Tier V,520
Covenant Adjudicator Gloves of the Barbarian,Medium Glove,Epic,Tier V,520
Covenant Adjudicator Shoes of the Barbarian,Medium Footwear,Epic,Tier V,520
Marauder Commander Pants of the Barbarian,Medium Legwear,Epic,Tier V,520
Marauder Commander Gloves of the Barbarian,Medium Glove,Epic,Tier V,520
Marauder Commander Coat of the Barbarian,Medium Chestwear,Epic,Tier V,520
Covenant Adjudicator Coat of the Barbarian,Medium Chestwear,Epic,Tier V,520
Marauder Commander Hat of the Barbarian,Medium Headwear,Epic,Tier V,520
Syndicate Alchemist Handcovers of the Barbarian,Light Glove,Epic,Tier V,520
Syndicate Alchemist Jacket of the Barbarian,Light Chestwear,Epic,Tier V,520
Syndicate Alchemist Footwear of the Barbarian,Light Footwear,Epic,Tier V,520
Syndicate Alchemist Leggings of the Barbarian,Light Legwear,Epic,Tier V,520
Covenant Adjudicator Footwear of the Barbarian,Light Footwear,Epic,Tier V,520
Marauder Commander Coat of the Occultist,Medium Chestwear,Epic,Tier V,520
Marauder Commander Hat of the Occultist,Medium Headwear,Epic,Tier V,520
Syndicate Alchemist Headwear of the Barbarian,Light Headwear,Epic,Tier V,520
Syndicate Alchemist Legguards of the Occultist,Heavy Legwear,Epic,Tier V,520
Syndicate Alchemist Boots of the Occultist,Heavy Footwear,Epic,Tier V,520
Syndicate Alchemist Gauntlets of the Occultist,Heavy Glove,Epic,Tier V,520
Syndicate Alchemist Breastplate of the Occultist,Heavy Chestwear,Epic,Tier V,520
Syndicate Alchemist Helm of the Occultist,Heavy Headwear,Epic,Tier V,520
Marauder Commander Boots of the Occultist,Heavy Footwear,Epic,Tier V,520
Covenant Adjudicator Legguards of the Occultist,Heavy Legwear,Epic,Tier V,520
Covenant Adjudicator Gauntlets of the Occultist,Heavy Glove,Epic,Tier V,520
Covenant Adjudicator Breastplate of the Occultist,Heavy Chestwear,Epic,Tier V,520
Covenant Adjudicator Helm of the Occultist,Heavy Headwear,Epic,Tier V,520
Covenant Adjudicator Boots of the Occultist,Heavy Footwear,Epic,Tier V,520
Marauder Commander Helm of the Occultist,Heavy Headwear,Epic,Tier V,520
Syndicate Alchemist Footwear of the Brigand,Light Footwear,Epic,Tier V,520
Marauder Commander Breastplate of the Occultist,Heavy Chestwear,Epic,Tier V,520
Marauder Commander Legguards of the Occultist,Heavy Legwear,Epic,Tier V,520
Marauder Commander Gauntlets of the Occultist,Heavy Glove,Epic,Tier V,520
Covenant Adjudicator Jacket of the Cleric,Light Chestwear,Epic,Tier V,520
Syndicate Alchemist Handcovers of the Brigand,Light Glove,Epic,Tier V,520
Syndicate Alchemist Jacket of the Brigand,Light Chestwear,Epic,Tier V,520
Syndicate Alchemist Leggings of the Brigand,Light Legwear,Epic,Tier V,520
Marauder Commander Leggings of the Cleric,Light Legwear,Epic,Tier V,520
Marauder Commander Handcovers of the Cleric,Light Glove,Epic,Tier V,520
Marauder Commander Jacket of the Cleric,Light Chestwear,Epic,Tier V,520
Covenant Adjudicator Headwear of the Cleric,Light Headwear,Epic,Tier V,520
Marauder Commander Footwear of the Cleric,Light Footwear,Epic,Tier V,520
Syndicate Alchemist Boots of the Cleric,Heavy Footwear,Epic,Tier V,520
Syndicate Alchemist Legguards of the Cleric,Heavy Legwear,Epic,Tier V,520
Syndicate Alchemist Gauntlets of the Cleric,Heavy Glove,Epic,Tier V,520
Syndicate Alchemist Breastplate of the Cleric,Heavy Chestwear,Epic,Tier V,520
Syndicate Alchemist Helm of the Cleric,Heavy Headwear,Epic,Tier V,520
Covenant Adjudicator Boots of the Cleric,Heavy Footwear,Epic,Tier V,520
Marauder Commander Headwear of the Cleric,Light Headwear,Epic,Tier V,520
Covenant Adjudicator Legguards of the Cleric,Heavy Legwear,Epic,Tier V,520
Provender's Leggings,Light Legwear,Rare,Tier V,500-600
Costumier's Hat,Light Headwear,Rare,Tier V,500-600
Costumier's Gloves,Light Glove,Rare,Tier V,500-600
Costumier's Leggings,Light Legwear,Rare,Tier V,500-600
Costumier's Shoes,Light Footwear,Rare,Tier V,500-600
Costumier's Shirt,Light Chestwear,Rare,Tier V,500-600
Clothier's Gloves,Light Glove,Rare,Tier V,500-600
Prevender's Shoes,Light Footwear,Rare,Tier V,500-600
Clothier's Hat,Light Headwear,Rare,Tier V,500-600
Clothier's Shirt,Light Chestwear,Rare,Tier V,500-600
Clothier's Shoes,Light Footwear,Rare,Tier V,500-600
Clothier's Leggings,Light Legwear,Rare,Tier V,500-600
The Watcher's Totem,Jewelry - Earring,Rare,Tier V,505
Lord Huntingdon's Brooch,Jewelry - Amulet,Rare,Tier V,505
Diamond of the Yew Tree,Jewelry - Ring,Uncommon,Tier V,510
Mourningdale Foehammer,War Hammer,Rare,Tier V,505
Infused Silk Sage Hat,Light Headwear,Common,Tier V,500-600
Infused Leather Sorcerer Hunter Boots,Medium Footwear,Common,Tier V,500-600
Infused Silk Duelist Hat,Light Headwear,Common,Tier V,500-600
Glory Reigns,Jewelry - Ring,Uncommon,Tier V,510
Heavy Fur Trapper Boots,Medium Footwear,Common,Tier V,500-600
Infused Leather Explorer Boots,Medium Footwear,Common,Tier V,500-600
Infused Leather Plague Doctor Boots,Medium Footwear,Common,Tier V,500-600
Infused Leather Plague Doctor Pants,Medium Legwear,Common,Tier V,500-600
Infused Leather Sorcerer Hunter Pants,Medium Legwear,Common,Tier V,500-600
Heavy Fur Trapper Pants,Medium Legwear,Common,Tier V,500-600
Infused Leather Explorer Pants,Medium Legwear,Common,Tier V,500-600
Infused Leather Plague Doctor Gloves,Medium Glove,Common,Tier V,500-600
Infused Leather Sorcerer Hunter Gauntlets,Medium Glove,Common,Tier V,500-600
Heavy Fur Trapper Gloves,Medium Glove,Common,Tier V,500-600
Infused Leather Explorer Gloves,Medium Glove,Common,Tier V,500-600
Infused Leather Sorcerer Hunter Coat,Medium Chestwear,Common,Tier V,500-600
Provender's Shirt,Light Chestwear,Rare,Tier V,500-600
Infused Leather Plague Doctor Coat,Medium Chestwear,Common,Tier V,500-600
Heavy Fur Trapper Coat,Medium Chestwear,Common,Tier V,500-600
Infused Leather Explorer Coat,Medium Chestwear,Common,Tier V,500-600
Orichalcum Cleric Ring of the Cleric,@Armor - Ring,Uncommon,Tier V,500-600
Orichalcum Sage Ring of the Sage,@Armor - Ring,Uncommon,Tier V,500-600
Orichalcum Ranger Ring of the Ranger,@Armor - Ring,Uncommon,Tier V,500-600
Orichalcum Barbarian Ring of the Soldier,@Armor - Ring,Uncommon,Tier V,500-600
Infused Leather Plague Doctor Hat,Medium Headwear,Common,Tier V,500-600
Infused Leather Sorcerer Hunter Hat,Medium Headwear,Common,Tier V,500-600
Orichalcum Scholar Ring of the Scholar,@Armor - Ring,Uncommon,Tier V,500-600
Orichalcum Stalwart Ring of the Sentry,@Armor - Ring,Uncommon,Tier V,500-600
Orichalcum Duelist Amulet of the Duelist,@Armor - Amulet,Uncommon,Tier V,500-600
Orichalcum Soldier Amulet of the Barbarian,@Armor - Amulet,Uncommon,Tier V,500-600
Orichalcum Magician Amulet of the Mage,@Armor - Amulet,Uncommon,Tier V,500-600
Orichalcum Monk Amulet of the Monk,@Armor - Amulet,Uncommon,Tier V,500-600
Orichalcum Cleric Amulet of the Cleric,@Armor - Amulet,Uncommon,Tier V,500-600
Orichalcum Sage Amulet of the Sage,@Armor - Amulet,Uncommon,Tier V,500-600
Orichalcum Battlemage Amulet of the Occultist,@Armor - Amulet,Uncommon,Tier V,500-600
Orichalcum Scholar Amulet of the Scholar,@Armor - Amulet,Uncommon,Tier V,500-600
Orichalcum Brigand Amulet of the Brigand,@Armor - Amulet,Uncommon,Tier V,500-600
Orichalcum Ranger Amulet of the Ranger,@Armor - Amulet,Uncommon,Tier V,500-600
Orichalcum Logging Axe,Tool,Common,Tier V,500-600
Powerful Proficiency Booster,Consumable,Common,Tier V,
Powerful Incense,Consumable,Common,Tier V,
Powerful Oakflesh Balm,Consumable,Common,Tier V,
Powerful Honing Stone,Consumable,Common,Tier V,
Orichalcum Skinning Knife,Tool,Common,Tier V,500-600
Orichalcum Harvesting Sickle,Tool,Common,Tier V,500-600
Powerful Gemstone Dust,Consumable,Common,Tier V,
Infused Ancient Ward Potion,Consumable,Common,Tier V,
Infused Angry Earth Ward Potion,Consumable,Common,Tier V,
Infused Corrupted Ward Potion,Consumable,Common,Tier V,
Infused Lost Ward Potion,Consumable,Common,Tier V,
Infused Beast Ward Potion,Consumable,Common,Tier V,
Infused Void Absorption Potion,Consumable,Common,Tier V,
Infused Nature Absorption Potion,Consumable,Common,Tier V,
Empowered Pristine Sapphire Earring,Jewelry - Earring,Uncommon,Tier V,500-600
Infused Arcane Absorption Potion,Consumable,Common,Tier V,
Infused Lightning Absorption Potion,Consumable,Common,Tier V,
Iceproof Pristine Aquamarine Earring,Jewelry - Earring,Uncommon,Tier V,500-600
Fireproof Pristine Ruby Earring,Jewelry - Earring,Uncommon,Tier V,500-600
Pristine Carnelian Ring,Jewelry - Ring,Uncommon,Tier V,500-600
Arboreal Pristine Amber Ring,Jewelry - Ring,Uncommon,Tier V,500-600
Pristine Pearl Ring,Jewelry - Ring,Uncommon,Tier V,500-600
Insulated Pristine Topaz Ring,Jewelry - Ring,Uncommon,Tier V,500-600
Spectral Pristine Malachite Ring,Jewelry - Ring,Uncommon,Tier V,500-600
Tempered Pristine Emerald Ring,Jewelry - Ring,Uncommon,Tier V,500-600
Burnished Pristine Moonstone Ring,Jewelry - Ring,Uncommon,Tier V,500-600
Padded Pristine Jasper Ring,Jewelry - Ring,Uncommon,Tier V,500-600
Primeval Pristine Diamond Ring,Jewelry - Ring,Uncommon,Tier V,500-600
Abyssal Pristine Amethyst Ring,Jewelry - Ring,Uncommon,Tier V,500-600
Reinforced Pristine Onyx Ring,Jewelry - Ring,Uncommon,Tier V,500-600
Empowered Pristine Sapphire Ring,Jewelry - Ring,Uncommon,Tier V,500-600
Imbued Pristine Opal Ring,Jewelry - Ring,Uncommon,Tier V,500-600
Pristine Carnelian Amulet,Jewelry - Amulet,Uncommon,Tier V,500-600
Iceproof Pristine Aquamarine Ring,Jewelry - Ring,Uncommon,Tier V,500-600
Infused Silk Robe Gloves,Light Glove,Common,Tier V,500-600
Arboreal Pristine Amber Amulet,Jewelry - Amulet,Uncommon,Tier V,500-600
Fireproof Pristine Ruby Ring,Jewelry - Ring,Uncommon,Tier V,500-600
