name,telephone,mail,website
IRIS TC LAMBERSART,0366969133,iristennisclub@gmail.com,http://www.iris-tennis-club.com
TC CUINCY,None,tc.cuincy59@gmail.com,http://tennis-club-cuincy.e-monsite.com
TC METEREN,0643161056,None,None
NORGES LES BOIS T.C.,0380357663,None,http://www.avenirtennis.com
VOREPPE TC,0782107750,tennisclubvoreppe@gmail.com,http://www.tennisvoreppe.fr/
STADE CLERMONTOIS TC,0767497376,tennisclubstadeclermontois@gmail.com,http://www.stadeclermontoistennis.com
VOUREY TENNIS CLUB,None,olivier.clain@orange.fr,http://www.tennis-vourey.com
VOLVIC TENNIS CLUB,0652202273,contact@volvictennisclub.fr,https://www.volvictennisclub.fr
VIC-LE-COMTE (TENNIS CLUB),None,tcvicl@gmail.com,https://tcviclecomte.wordpress.com/
PETIT BORNAND TENNIS CLUB,None,tennis-pt-bornand@laposte.net,https://www.facebook.com/Tennis-club-Petit-Bornand-110878776949113/?modal=admin_todo_tour
ST-GEORGES-LES-ANCIZES US,0473867166,gerardbourdugetp@bbox.fr,http://www.club.fft.fr/usstgeorges
VIRY TC,0450047799,pp.poirier@free.fr,http://www.club.fft.fr/virytc
FRUIT DEFENDU (ASTC),0147511493,None,None
MIREBEAU T.C.,None,rafgarnier1@gmail.com,http://www.club.fft.fr/tcmirebeau
T.C. HOUILLES,0953256717,info@tennisclubhouilles.com,http://www.tennisclubhouilles.com
VILLIERS SPORT & CULTURE TENNIS,0134899551,tennis-villiers-saint-frederic@gmx.fr,None
TENNIS CLUB DE CHAMBLY,0174562575,tc.chambly@sfr.fr,http://www.club.fft.fr/chamblytc/
VIARMES ASNIERES TC,0130354422,ctva2@wanadoo.fr,http://www.ctva.info/
TENNIS GUEBWILLER FCG 1910,0389743344,tennisgueb1910@gmail.com,https://www.facebook.com/guebwillertennis
WEZIEN TC,0608509903,tcwezien@fft.fr,http://www.club.fft.fr/tcwezien
VEYRE-LES-MARTRES TC,0473696814,elisabeth.ceron@sfr.fr,https://tcveyrelesmartres.com
VOURLES (TENNIS CLUB DE),0478051786,tennisvourles@gmail.com,https://tennisvourles.wixsite.com/tennisclubdevourles
JUILLY LTJ,None,None,None
VILLERS BOCAGE TC,0231770185,tcvb14@yahoo.fr,https://www.facebook.com/pg/tennisvillersbocage/about/
VERSON TC,0231262183,tc.verson@orange.fr,http://www.club.fft.fr/tc.verson
VILLERS LES NANCY VNTC,0383405032,vntennisclub@gmail.com,http://www.vntennisclub.fr
VANDOEUVRE US,0383576988,usvandoeuvre@yahoo.fr,http://www.club.fft.fr/usvandoeuvre
VER SUR MER TC,0231222186,tc.versurmer@orange.fr,https://tcversurmer.wixsite.com/tcversurmer
SAHURS SPORTS ET LOISIRS,None,michael.bouyer@sahurs.com,http://www.sahurs.fr/vie-associative/sport-et-loisirs-sahurs
SANTEUIL (TENNIS CLUB),0607492618,tacnet.dahan@wanadoo.fr,http://tcsanteuil.free.fr
T.C. PARC DE MEZY,None,tcparcmezy@gmail.com,https://www.facebook.com/TCParcMezy/
US GRAVELINES TENNIS,0328654051,usgt2@wanadoo.fr,http://usg-gravelines-tennis.fr/
T.C. RENAULT FLINS,0176825964,a.a.morvan@orange.fr,http://www.club.fft.fr/tennisflinssurseine
T.C. MARCQ,0134874164,tennisclubdemarcq78@outlook.fr,None
VILLENEUVE LE COMTE TC,0670668463,stef77174@free.fr,http://www.club.fft.fr/tcvlc
VOUILLE CT,None,tennisclubvouille86@gmail.com,http://www.tcv86.jimdo.com
TENNIS CLUB DU MONT-DORE,0687768567,tcmondore@canl.nc,https://www.facebook.com/Tennis-Club-du-Mont-Dore-188336634655927/
BORNEL TENNIS CLUB,0344085296,sdauchelle@free.fr,None
ST SOUPPLETS TC,0783233024,tc.stsoupplets@fft.fr,None
VILLENOY VTC,0652145025,vtennisclub@orange.fr,None
VINEUIL SAINT FIRMIN T.C,0686843163,tcvineuil@gmail.com,http://www.tennisclubvineuil.wordpress.com
WESTHOUSE TENNIS CLUB,0388584916,tcwesch@gmail.com,https://tcwesthouse.com/
TENNIS CLUB DU NORD,0696348648,tcnord@villeducarbet.fr,None
VALOGNES LA VALOGNAISE,0695232299,tennis.valognes@fft.fr,http://www.club.fft.fr/tc.valognes
TENNIS PRO DISTRIBUTION,0388646362,info@tennispro.fr,http://www.tennispro.fr
U.S. MAROLLES,0160838258,us.marolles@fft.fr,http://www.club.fft.fr/us.marolles
WESTHOFFEN-TRAENHEIM TC,0388503143,None,None
C.T. THOIRY,0130885568,clubtennisthoiry@sfr.fr,http://www.club.fft.fr/clubtennisthoiry/
C.O. GARGENVILLE,0609812459,38780064@fft.fr,http://www.club.fft.fr/COGTENNISCLUB/
MORTCERF ASSOCIATION COMMUNALE DU TENNIS,0626312795,None,https://www.actmorcerf.fr/
MERE T.C.,0651505507,jeanguy.mutez@free.fr,https://www.mere-tennis-club.fr/inscriptions-et-tarifs/saison-2020-2021.html
T.C. BOISSY SANS AVOIR,0610590782,tc.boissy-sans-avoir@fft.fr,http://www.club.fft.fr/tc-boissy-sans-avoir
LA HOUSSAYE TC,None,tclahoussaye77@fft.fr,https://tennislahoussaye.hubside.fr/
T.C. MONTFORT L'AMAURY,0134868481,tennismontfort@gmail.com,http://www.club.fft.fr/tennismontfort
URVILLE NACQUEVILLE AS,0964475465,club@assuntennis.fr,https://www.assuntennis.fr
TENNIS CLUB DU ROBERT,0596656814,tcm.robert@wanadoo.fr,http://www.club.fft.fr/tc.robert
SIOUVILLE HAGUE TENNIS BAND,0233045298,siouville.tennis@gmail.com,http://www.club.fft.fr/siouvilletennisband
